ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,cumulative,cumulative_lower,cumulative_upper
2026-12-31,14125810.683198223,-8568009.174676478,23508684.23628235,13945896.562549604,14310432.974518178,-0.4370237577091277,-0.4370237577091277,-0.4370237577091277,-0.4443981082975266,-0.4443981082975266,-0.4443981082975266,-0.007374350588398693,-0.007374350588398693,-0.007374350588398693,0.0,0.0,0.0,7848327.137415941,677859158.2962621,371713667.97190386,984467038.1010842
2027-01-31,14303841.243466489,-13558884.625883972,18662959.229472514,14106339.913841419,14505971.70025297,-0.3320961039220959,-0.3320961039220959,-0.3320961039220959,-0.8780972167938967,-0.8780972167938967,-0.8780972167938967,-0.5460011128718008,-0.5460011128718008,-0.5460011128718008,0.0,0.0,0.0,1743678.058116814,679602836.3543789,358154783.34601986,1003129997.3305568
2027-02-28,14464643.03983781,-13182499.116573172,18501487.95020675,14248711.713401128,14681658.62606716,-0.08640148072853056,-0.08640148072853056,-0.08640148072853056,-0.8627698829516215,-0.8627698829516215,-0.8627698829516215,-0.7763684022230908,-0.7763684022230908,-0.7763684022230908,0.0,0.0,0.0,1984984.657419956,681587821.0117989,344972284.2294467,1021631485.2807635
2027-03-31,14642673.600106072,-21756217.159359526,11767827.636878153,14407945.498940045,14875645.064908609,-0.26731822397999966,-0.26731822397999966,-0.26731822397999966,-1.3496162235836877,-1.3496162235836877,-1.3496162235836877,-1.082297999603688,-1.082297999603688,-1.082297999603688,0.0,0.0,0.0,-5119316.247237646,676468504.7645612,323216067.0700872,1033399312.9176416
2027-04-30,14814961.239075352,-13424577.903486276,19152628.82763808,14559922.28357806,15063541.735973427,-0.08640148072808622,-0.08640148072808622,-0.08640148072808622,-0.7840928158617793,-0.7840928158617793,-0.7840928158617793,-0.6976913351336929,-0.6976913351336929,-0.6976913351336929,0.0,0.0,0.0,3198656.564245645,679667161.3288069,309791489.16660094,1052551941.7452798
2027-05-31,14992991.799343606,82257823.39648248,114474290.14260803,14716900.594327511,15263739.025542898,-0.2673182239787574,-0.2673182239787574,-0.2673182239787574,5.582210149140598,5.582210149140598,5.582210149140598,5.849528373119357,5.849528373119357,5.849528373119357,0.0,0.0,0.0,98687022.78762124,778354184.1164281,392049312.5630834,1167026231.8878877
2027-06-30,15165279.438312897,-21794389.285047676,10827580.443166783,14873503.949833687,15455937.217160214,-0.08640148072908238,-0.08640148072908238,-0.08640148072908238,-1.36261533570757,-1.36261533570757,-1.36261533570757,-1.2762138549784876,-1.2762138549784876,-1.2762138549784876,0.0,0.0,0.0,-5499162.8946229415,772855021.2218052,370254923.27803576,1177853812.3310544
2027-07-31,15343309.998581152,-20172834.574232668,13504010.04596555,15026725.857400067,15656462.801328009,-0.26731822397873756,-0.26731822397873756,-0.26731822397873756,-1.1575332698400373,-1.1575332698400373,-1.1575332698400373,-0.8902150458612998,-0.8902150458612998,-0.8902150458612998,0.0,0.0,0.0,-2417081.794245828,770437939.4275594,350082088.70380306,1191357822.37702
2027-08-31,15521340.55884941,-11360605.79746044,20942970.96672715,15184100.167300927,15854237.735378323,-0.4027336203949134,-0.4027336203949134,-0.4027336203949134,-0.7041750934859202,-0.7041750934859202,-0.7041750934859202,-0.3014414730910068,-0.3014414730910068,-0.3014414730910068,0.0,0.0,0.0,4591599.119794821,775029538.5473542,338721482.9063426,1212300793.3437471
2027-09-30,15693628.197818689,-9334575.198391,23741388.086412597,15339246.86661886,16043679.202277036,-0.26731822397929317,-0.26731822397929317,-0.26731822397929317,-0.5143938754711407,-0.5143938754711407,-0.5143938754711407,-0.24707565149184757,-0.24707565149184757,-0.24707565149184757,0.0,0.0,0.0,7620921.96893956,782650460.5162938,329386907.70795166,1236042181.4301596
2027-10-31,15871658.75808695,-7608911.573780071,24452150.384348147,15503787.259956466,16245749.877402766,-0.4027336203947241,-0.4027336203947241,-0.4027336203947241,-0.4396591803171212,-0.4396591803171212,-0.4396591803171212,-0.036925559922397155,-0.036925559922397155,-0.036925559922397155,0.0,0.0,0.0,8893538.278233383,791543998.794527,321777996.1341716,1260494331.814508
2027-11-30,16043946.39705623,-2407995.1155315815,30205506.519515164,15661485.654771341,16438542.437277298,-0.2673182239796017,-0.2673182239796017,-0.2673182239796017,-0.16870556795130953,-0.16870556795130953,-0.16870556795130953,0.09861265602829222,0.09861265602829222,0.09861265602829222,0.0,0.0,0.0,13337243.307960492,804881242.1024876,319370001.01864,1290699838.334023
2027-12-31,16221976.957324486,-7165368.029869141,24942553.82412595,15823338.710383378,16635569.894258201,-0.40273362039529803,-0.40273362039529803,-0.40273362039529803,-0.4214978413654076,-0.4214978413654076,-0.4214978413654076,-0.018764220970109324,-0.018764220970109324,-0.018764220970109324,0.0,0.0,0.0,9384448.687132834,814265690.7896204,312204632.98877084,1315642392.158149
2028-01-31,16400007.517592747,-16808249.030230965,16046945.362552883,15973614.159888366,16830697.44913554,-0.463352401550976,-0.463352401550976,-0.463352401550976,-1.0225944243087244,-1.0225944243087244,-1.0225944243087244,-0.5592420227577483,-0.5592420227577483,-0.5592420227577483,0.0,0.0,0.0,-370548.7285187602,813895142.0611017,295396383.95853984,1331689337.520702
2028-02-29,16566552.23526305,-12524353.268707829,18978262.815018803,16111880.12645967,17013888.52266363,-0.08640148072829687,-0.08640148072829687,-0.08640148072829687,-0.8331427350342445,-0.8331427350342445,-0.8331427350342445,-0.7467412543059477,-0.7467412543059477,-0.7467412543059477,0.0,0.0,0.0,2764249.5958883152,816659391.65699,282872030.68983203,1350667600.3357205
2028-03-31,16744582.795531306,-21902142.41743541,10342959.009909475,16269340.184661336,17210468.54544528,-0.2673182239801392,-0.2673182239801392,-0.2673182239801392,-1.3782585892459402,-1.3782585892459402,-1.3782585892459402,-1.1109403652658012,-1.1109403652658012,-1.1109403652658012,0.0,0.0,0.0,-6333782.265749514,810325609.3912405,260969888.27239662,1361010559.3456302
2028-04-30,16916870.43450059,-14729563.74186213,18343058.475847002,16423540.949245868,17400910.644362453,-0.08640148072784593,-0.08640148072784593,-0.08640148072784593,-0.9272051653221762,-0.9272051653221762,-0.9272051653221762,-0.8408036845943303,-0.8408036845943303,-0.8408036845943303,0.0,0.0,0.0,1231460.7865456352,811557070.1777861,246240324.5305345,1379353617.8214772
